index,name,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
2296,Deuce,KISS,1974,3.103333333,48,0.44,0.00356,0.44,0.879,0.701,6,0.294,-7.023,0.0728,127.686,4,0.599
2297,Take It to the Limit - 2013 Remaster,Eagles,1975,4.784833333,65,0.435,0.0916,0.435,0.423,0.000659,11,0.132,-8.795,0.024,91.137,3,0.451
2298,The First Time Ever I Saw Your Face,Roberta Flack,1969,4.344433333,65,0.311,0.731,0.311,0.0264,0.00205,0,0.156,-21.644,0.037,120.653,4,0.139
2299,Rain King,Counting Crows,1993,4.262883333,55,0.479,0.507,0.479,0.883,0,9,0.305,-6.744,0.0649,78.592,4,0.732
2300,(There'll Be) Peace In the Valley (For Me),Elvis Presley,1957,3.36955,53,0.306,0.949,0.306,0.0334,0.000102,0,0.281,-19.338,0.0314,65.148,3,0.241
2301,Decode - Twilight Soundtrack Version,Paramore,2009,4.365983333,59,0.282,0.000705,0.282,0.866,0.0055,10,0.101,-4.223,0.0588,163.987,4,0.277
2302,Razamanaz,Nazareth,1973,3.841333333,38,0.331,0.000125,0.331,0.949,0.00916,2,0.217,-4.397,0.194,189.894,4,0.377
2303,Apache,Fatboy Slim,2013,4.890433333,36,0.659,0.0106,0.659,0.764,0.874,7,0.0761,-7.635,0.176,118.245,4,0.551
2304,Tangerine - Remaster,Led Zeppelin,1970,3.197116667,62,0.306,0.0857,0.306,0.398,6.02E-05,6,0.0756,-12.767,0.0412,85.622,4,0.0948
2305,Animal Farm - 2018 Stereo Remaster,The Kinks,1968,3.025766667,32,0.541,0.556,0.541,0.678,0,2,0.0611,-7.624,0.0319,77.478,4,0.713
2306,Everytime You Go Away,Various Artists,2011,5.380216667,46,0.662,0.161,0.662,0.762,0.000123,5,0.0999,-7.532,0.0465,82.118,4,0.649
2307,Standing In the Way of Control,Gossip,2005,4.273316667,55,0.697,0.00694,0.697,0.919,0.0621,7,0.203,-6.174,0.029,118.341,4,0.943
2308,Dr. Baker,The Beta Band,1998,4.150216667,26,0.462,0.498,0.462,0.417,0,2,0.0821,-13.873,0.0293,76.155,4,0.399
2309,The Night Owls,Little River Band,2014,5.215766667,39,0.57,0.0296,0.57,0.637,0.00194,4,0.127,-9.077,0.0332,126.614,4,0.601
2310,Sitting Inside My Head,Supergroove,1994,3.49555,50,0.607,0.000878,0.607,0.786,0.000456,1,0.0958,-9.137,0.0537,94.044,4,0.709
2311,Crush,Dave Matthews Band,1998,8.15555,53,0.564,0.262,0.564,0.745,2.78E-05,0,0.108,-6.933,0.0411,94.044,4,0.672
2312,Sweet Soul Sister,The Cult,1989,5.137766667,46,0.44,0.124,0.44,0.866,0.0101,5,0.159,-9.245,0.0629,93.027,4,0.152
2313,Right Place Wrong Time,Dr. John,1973,2.920666667,60,0.789,0.0923,0.789,0.494,0.000408,1,0.144,-13.702,0.0456,104.593,4,0.826
2314,No Depression,Uncle Tupelo,1990,2.336666667,34,0.428,0.259,0.428,0.304,0.00104,0,0.152,-16.129,0.0344,113.949,4,0.414
2315,Maybe Baby,Buddy Holly,2018,2.33555,21,0.596,0.138,0.596,0.629,1.01E-06,9,0.108,-8.949,0.0281,137.239,4,0.815
2316,Heatstrokes,Krokus,1980,4.0111,29,0.37,0.000638,0.37,0.687,0.133,9,0.0889,-12.666,0.0402,155.08,4,0.332
2317,She Builds Quick Machines,Velvet Revolver,2007,4.040666667,40,0.333,0.000193,0.333,0.883,0.259,0,0.313,-4.486,0.0403,148.818,4,0.673
2318,I'm So Tired - Remastered 2009,The Beatles,1968,2.058216667,55,0.433,0.656,0.433,0.483,2.64E-05,9,0.539,-9.422,0.175,68.492,4,0.717
2319,Am I Wry? No,Mew,2003,4.912216667,26,0.536,0.00491,0.536,0.919,0.437,5,0.139,-4.374,0.0575,130.594,4,0.531
2320,Is It Okay If I Call You Mine?,Various Artists,1980,2.692216667,52,0.621,0.821,0.621,0.11,1.80E-05,9,0.106,-20.706,0.0704,143.883,4,0.338
2321,Trash,Suede,1993,4.144666667,22,0.434,0.00079,0.434,0.992,6.68E-05,11,0.315,-2.831,0.104,124.601,4,0.159
2322,"The Orchestra Tubular Bells Part 1 ""The Exorcist"" - Live At Sumida Triphony Hall / 2006",Johann Sebastian Bach,2020,10.25243333,12,0.234,0.928,0.234,0.126,0.875,4,0.312,-19.545,0.0361,105.125,4,0.0864
2323,War,Edwin Starr,1970,3.337766667,63,0.59,0.0939,0.59,0.671,0,1,0.248,-12.484,0.154,109.333,4,0.736
2324,Young Blood,The Naked And Famous,2010,4.11,67,0.579,5.63E-05,0.579,0.865,0.000221,6,0.649,-4.692,0.0302,104.99,4,0.358
2325,Weight of the World,Black Rebel Motorcycle Club,2005,3.685766667,28,0.433,0.0287,0.433,0.644,0.0013,5,0.0784,-8.32,0.0289,170.313,4,0.644
2326,Alpha And Omega,Boards of Canada,2002,7.0431,36,0.484,0.313,0.484,0.894,0.921,10,0.926,-9.524,0.131,195.917,4,0.132
2327,All In Love Is Fair,Stevie Wonder,1973,3.699333333,47,0.484,0.798,0.484,0.34,6.13E-06,1,0.173,-11.932,0.0276,132.716,4,0.11
2328,Little Bitty Pretty One,Various Artists,2011,2.362216667,47,0.761,0.499,0.761,0.425,2.02E-06,8,0.0596,-12.941,0.211,88.275,4,0.879
2329,Not Even Stevie Nicks…,Calexico,2003,2.73,18,0.522,0.881,0.522,0.394,0.0782,9,0.0998,-8.761,0.0394,132.174,4,0.188
2330,Dancing Fool,Frank Zappa,2016,3.716433333,24,0.564,0.38,0.564,0.638,2.37E-06,9,0.521,-9.435,0.126,132.375,4,0.531
2331,"10,000 Lovers (In One)",TNT,1987,2.912216667,41,0.451,0.0692,0.451,0.802,1.05E-06,1,0.629,-11.494,0.0903,108.255,4,0.503
2332,Let's Have A Party,Wanda Jackson,2002,2.186666667,52,0.522,0.535,0.522,0.901,8.47E-06,4,0.176,-8.549,0.0479,166.886,4,0.916
2333,Earth Song,Michael Jackson,1995,6.767333333,64,0.501,0.482,0.501,0.439,0.000117,3,0.087,-7.521,0.0313,138.377,4,0.145
2334,The Jessica Numbers,The New Pornographers,2005,3.11155,22,0.6,0.131,0.6,0.926,0.2,9,0.343,-3.772,0.048,125.025,3,0.694
2335,You Look So Fine,Garbage,1998,5.3827,33,0.561,0.139,0.561,0.632,0.0218,4,0.0803,-9.084,0.0238,103.944,4,0.368
2336,Do You See What I See?,Hunters & Collectors,1987,3.628,55,0.427,0.00364,0.427,0.967,0.000184,2,0.228,-2.376,0.0514,154.919,4,0.613
2337,Water's Edge,Seven Mary Three,1995,3.846666667,52,0.6,0.00121,0.6,0.683,0,4,0.103,-7.236,0.0323,118.604,4,0.329
2338,Games Without Frontiers,Peter Gabriel,1980,4.1111,49,0.735,0.349,0.735,0.724,3.02E-05,6,0.132,-9.563,0.0518,96.046,4,0.921
2339,Something in Your Mouth,Nickelback,2008,3.654216667,63,0.663,0.00137,0.663,0.977,1.77E-05,0,0.173,-3.024,0.0575,129.975,4,0.746
2340,Still The Same,Bob Seger,1978,3.392433333,62,0.709,0.405,0.709,0.767,0.000172,0,0.0592,-6.732,0.0283,115.64,4,0.557
2341,Saturday Night Special,Lynyrd Skynyrd,1975,5.1611,55,0.558,0.0146,0.558,0.563,0.000195,9,0.273,-11.259,0.0543,120.99,4,0.617
2342,Hand in Glove - 2011 Remaster,The Smiths,1984,3.376433333,52,0.445,8.97E-05,0.445,0.89,0.000176,0,0.284,-7.242,0.0354,141.802,4,0.915
2343,"I Want You, I Need You, I Love You",Elvis Presley,1958,2.665333333,52,0.441,0.875,0.441,0.33,0,0,0.31,-11.186,0.0301,78.744,4,0.726
2344,Just Like This,Limp Bizkit,1999,3.584,52,0.639,0.00896,0.639,0.947,0.00173,6,0.0915,-4.216,0.142,100.869,4,0.586
2345,Sewn,The Feeling,2006,5.929766667,27,0.554,0.142,0.554,0.614,0,3,0.0836,-8.976,0.0338,150.033,4,0.219
2346,Kayleigh,Marillion,1992,4.056883333,57,0.562,0.0188,0.562,0.671,0.00378,2,0.0947,-7.21,0.0269,106.002,4,0.595
2347,Flowers On the Wall,The Statler Brothers,1996,2.313333333,54,0.784,0.792,0.784,0.451,4.09E-05,8,0.115,-11.225,0.0723,100.303,4,0.78
2348,Romulus,Sufjan Stevens,2003,4.695766667,44,0.717,0.907,0.717,0.237,0.000531,4,0.108,-16.924,0.0356,120.555,3,0.518
2349,Perpetual Dawn,The Orb,1991,9.538216667,32,0.798,0.0168,0.798,0.786,0.294,11,0.216,-14.628,0.0546,102.742,4,0.38
2350,Supergirl,Reamonn,2000,4.1011,58,0.662,0.136,0.662,0.515,0.011,6,0.0925,-9.501,0.0296,116.24,4,0.376
2351,Morning Bell,Radiohead,2000,4.596666667,51,0.645,0.719,0.645,0.462,0.291,2,0.34,-12.124,0.0319,142.137,5,0.391
2352,"Baby, Let's Play House",Elvis Presley,2017,2.317333333,49,0.668,0.733,0.668,0.65,0.0284,4,0.122,-9.373,0.042,103.975,4,0.961
2353,Nothing's Gonna Stop Us Now,Starship,1987,4.50555,76,0.643,0.0298,0.643,0.801,0,6,0.0719,-4.921,0.0228,95.988,4,0.534
2354,In View,The Tragically Hip,2006,3.976433333,34,0.484,0.000169,0.484,0.901,5.17E-05,1,0.155,-3.971,0.0355,146.012,4,0.674
2355,My Old Friend The Blues,Steve Earle,1986,3.151766667,25,0.423,0.66,0.423,0.137,5.42E-05,7,0.0604,-17.227,0.0321,142.46,4,0.245
2356,Vincent,Don McLean,1971,4.058216667,70,0.419,0.908,0.419,0.085,5.33E-06,7,0.34,-19.387,0.0362,91.509,3,0.458
2357,Faithfully,Journey,1983,4.451333333,68,0.202,0.0979,0.202,0.644,0,11,0.109,-5.212,0.0324,85.04,5,0.252
2358,Sunsets,Powderfinger,2003,3.822216667,59,0.282,1.10E-05,0.282,0.862,0.0414,2,0.0904,-3.591,0.0377,167.36,4,0.705
2359,Stargazer,Rainbow,1976,8.436,59,0.166,0.00374,0.166,0.948,0.0131,11,0.769,-8.503,0.0631,177.495,4,0.476
2360,New Hot Nights,Luger Boa,2011,3.838216667,10,0.602,0.00611,0.602,0.921,4.59E-06,2,0.153,-4.152,0.0352,125.001,4,0.531
2361,Be-Bop-A-Lula,Peter & Freddy,1975,2.56155,0,0.466,0.0266,0.466,0.649,2.63E-06,0,0.354,-9.693,0.14,150.837,4,0.735
2362,"New York, New York",Ryan Adams,2001,3.778216667,48,0.52,0.0562,0.52,0.812,7.85E-05,9,0.165,-8.246,0.0381,106.198,4,0.409
2363,Smalltown Boy,Bronski Beat,1984,5.040216667,72,0.685,0.288,0.685,0.584,0.00918,5,0.124,-10.616,0.0276,134.546,4,0.939
2364,Des Etoiles Electroniques,Stereolab,1994,3.332666667,20,0.254,0.665,0.254,0.105,0.139,2,0.0865,-17.3,0.0318,183.663,3,0.503
2365,Armed and Ready - 2009 Remaster,Michael Schenker Group,1980,4.188666667,48,0.329,0.00376,0.329,0.941,0.00525,9,0.0791,-7.687,0.084,171.632,4,0.77
2366,All By Myself,Eric Carmen,1975,7.166666667,64,0.376,0.827,0.376,0.373,0.832,7,0.15,-9.184,0.0305,116.074,4,0.111
2367,Celebrated Summer,Hüsker Dü,1985,4.04555,33,0.288,0.0787,0.288,0.927,0.081,7,0.388,-10.055,0.0578,100.509,4,0.185
2368,The Kids Are Back,Twisted Sister,1983,3.313333333,55,0.557,0.00366,0.557,0.843,1.83E-06,0,0.218,-4.338,0.131,138.339,4,0.547
2369,Wicked Game,Giant Drag,2005,4.258883333,30,0.579,0.606,0.579,0.445,0.00105,9,0.123,-7.601,0.0686,122.924,4,0.336
2370,Astronaut,the feelers,2001,4.093766667,17,0.385,0.00591,0.385,0.904,0.000662,7,0.0929,-3.78,0.0447,160.296,4,0.528
2371,Even In The Quietest Moments,Supertramp,1977,6.4351,51,0.431,0.338,0.431,0.598,0.000129,7,0.131,-7.406,0.0288,132.392,4,0.476
2372,"Ain't You Wealthy, Ain't You Wise?","Bonnie ""Prince"" Billy",2003,4.202216667,17,0.674,0.911,0.674,0.136,0.0311,3,0.103,-19.286,0.0306,105.761,3,0.275
2373,I'm Outta Time,Oasis,2008,4.166883333,46,0.427,0.00107,0.427,0.622,0.0467,4,0.431,-5.467,0.028,77.407,4,0.0775
2374,"The Celtic Soul Brothers (More, Please, Thank You)",Dexys Midnight Runners,1982,3.217766667,38,0.61,0.0385,0.61,0.691,3.48E-06,2,0.177,-6.741,0.0972,91.597,4,0.663
2375,Am I Ever Gonna See Your Face Again - Live,The Angels,1988,4.162216667,43,0.209,0.00141,0.209,0.945,2.28E-05,9,0.9,-6.306,0.0589,184.197,4,0.386
2376,Jackson Cage,Bruce Springsteen,1980,3.066216667,40,0.401,0.0773,0.401,0.911,0.00112,9,0.225,-7.184,0.0678,138.908,4,0.699
2377,Dizzy Miss Lizzy,Larry Williams,1959,2.20555,31,0.595,0.591,0.595,0.798,8.83E-06,3,0.0949,-9.978,0.0293,138.019,4,0.968
2378,Taxman - Remastered 2009,The Beatles,1966,2.64755,61,0.469,0.0101,0.469,0.596,0,7,0.321,-8.348,0.0749,133.586,4,0.783
2379,More Than Words Can Say,Alias,1990,3.903266667,54,0.412,0.609,0.412,0.376,0.00223,4,0.11,-11.789,0.0289,69.064,4,0.153
2380,Someday,The Strokes,2001,3.057333333,64,0.538,0.00425,0.538,0.52,0,9,0.367,-7.46,0.0299,106.031,4,0.678
2381,I Want to Take You Higher,Sly & The Family Stone,1969,5.372666667,49,0.613,0.123,0.613,0.844,0.761,9,0.308,-10.147,0.0553,102.773,4,0.519
2382,Sirens,The Pack a.d.,2013,3.40355,19,0.419,0.0252,0.419,0.882,0.852,1,0.182,-6.754,0.07,151.519,4,0.265
2383,What A Waste,Sonic Youth,2006,3.561766667,22,0.291,0.00154,0.291,0.87,0.119,9,0.204,-7.327,0.0475,154.957,4,0.463
2384,On the Beach,Chris Rea,1988,3.68555,53,0.735,0.229,0.735,0.728,2.71E-05,5,0.0657,-7.405,0.0405,127.97,4,0.96
2385,Wasted Time,Kings of Leon,2003,2.758433333,42,0.692,0.0108,0.692,0.727,1.36E-05,11,0.187,-5.019,0.0413,122.619,4,0.879
2386,The Ex,Billy Talent,2003,2.66155,46,0.441,0.00237,0.441,0.877,0,6,0.358,-9.484,0.0897,161.934,4,0.588
2387,The Widow,The Mars Volta,2005,5.848,52,0.236,0.628,0.236,0.658,0.00927,9,0.276,-6.059,0.0349,106.222,3,0.106
2388,These Dreams,Heart,1985,4.241266667,58,0.535,0.508,0.535,0.532,0,11,0.0868,-9.865,0.0291,79.106,4,0.3
2389,I Need A Lover,John Mellencamp,1978,5.620433333,50,0.415,0.00474,0.415,0.851,0.00632,6,0.368,-5.425,0.0611,125.961,4,0.796
2390,The Jack,AC/DC,1976,5.867333333,55,0.646,0.0094,0.646,0.473,0.000337,9,0.195,-6.297,0.0619,112.326,4,0.367
2391,Heart of the Sunrise - 2003 Remaster,Yes,1971,10.574,47,0.362,0.0177,0.362,0.507,0.217,1,0.113,-11.244,0.0396,146.741,3,0.439
2392,Lady Madonna - Remastered 2015,The Beatles,2000,2.280433333,61,0.65,0.141,0.65,0.777,0.343,2,0.215,-4.984,0.0294,109.608,4,0.574
2393,Djed,Tortoise,1996,20.95776667,28,0.541,0.652,0.541,0.436,0.854,9,0.177,-14.915,0.0635,118.157,4,0.393
2394,Fallen Angel,Elbow,2003,4.132216667,31,0.38,0.0242,0.38,0.754,4.09E-05,0,0.425,-4.852,0.0298,173.889,4,0.408
2395,I Summon You,Spoon,2005,3.926,39,0.836,0.127,0.836,0.654,0.0135,4,0.11,-8.249,0.0555,128.08,4,0.952
2396,Hard Habit to Break - 2006 Remaster,Chicago,1984,4.728883333,60,0.584,0.448,0.584,0.612,0,2,0.171,-5.833,0.0283,81.182,4,0.402
2397,Seventeen,Winger,1988,4.087766667,59,0.577,0.000895,0.577,0.676,2.29E-06,8,0.0625,-11.931,0.0295,95.98,4,0.676
2398,Sitting By the Riverside - 2018 Stereo Remaster,The Kinks,1968,2.435333333,31,0.533,0.433,0.533,0.638,0,0,0.264,-7.948,0.0291,137.798,4,0.772
2399,"Cry, Cry, Cry - 1988 Version",Johnny Cash,2011,2.40555,29,0.734,0.156,0.734,0.79,4.15E-06,4,0.108,-8.824,0.043,108.728,4,0.713
2400,Whiskey In The Jar,Thin Lizzy,1972,5.7531,64,0.557,0.531,0.557,0.693,0.00141,7,0.196,-11.044,0.0445,127.531,4,0.747
2401,Runnin' Back To Saskatoon - ReEdited Single Version,The Guess Who,2010,3.556516667,24,0.505,0.318,0.505,0.694,2.43E-05,2,0.988,-9.39,0.0375,117.185,4,0.631
2402,"Banditos [In the Style of ""The Refreshments""]",Done Again,2011,4.2331,9,0.546,0.301,0.546,0.881,0,4,0.123,-8,0.0592,147.016,4,0.669
2403,Dreams,Van Halen,1986,4.9,62,0.455,0.223,0.455,0.758,2.51E-06,0,0.0986,-11.361,0.0454,141.304,4,0.54
2404,Reena,Sonic Youth,2006,3.788216667,28,0.286,0.0116,0.286,0.956,0.431,0,0.144,-6.161,0.0763,148.08,4,0.369
2405,Runaways,The Killers,2012,4.0631,60,0.409,0.00116,0.409,0.837,0.00651,1,0.0855,-4.043,0.0406,121.757,4,0.199
2406,Take You On A Cruise,Interpol,2004,4.906666667,43,0.478,0.00486,0.478,0.927,0.825,2,0.0998,-3.585,0.0383,118.07,4,0.365
2407,Sweet Harmony,The Beloved,1993,5.024433333,62,0.573,0.0144,0.573,0.837,0.0889,10,0.0544,-8.352,0.0337,101.59,4,0.796
2408,Ready Teddy,Little Richard,1957,2.111333333,42,0.532,0.673,0.532,0.678,0,5,0.103,-5.59,0.19,205.973,4,0.971
2409,Love Train,The O'Jays,1972,2.973333333,69,0.744,0.186,0.744,0.568,1.18E-05,0,0.163,-9.629,0.0494,122.657,4,0.687
2410,Angel Eyes,The Jeff Healey Band,1988,5.35155,23,0.431,0.537,0.431,0.485,7.18E-05,0,0.0541,-8.651,0.0247,63.186,4,0.291
2411,Sowing The Seeds Of Love,Tears For Fears,1989,6.278883333,63,0.209,0.0109,0.209,0.795,5.63E-05,0,0.355,-7.241,0.0443,171.975,4,0.682
2412,To The Hilt,Various Artists,1999,4.368883333,39,0.623,0.00969,0.623,0.912,0.307,2,0.0418,-5.651,0.0339,97.837,4,0.881
2413,Wild Child - Remastered,Lou Reed,1972,4.666,27,0.715,0.363,0.715,0.838,0.0543,2,0.175,-7.278,0.0397,125.187,4,0.934
2414,You Gotta Know Remix,Supergroove,1994,3.607766667,25,0.696,0.00186,0.696,0.929,0.00126,7,0.277,-8.755,0.0728,115.982,4,0.7
2415,"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,2002,4.791766667,62,0.555,0.337,0.555,0.902,0,0,0.152,-7.918,0.0958,156.108,4,0.62
2416,On A Plain,Nirvana,1991,3.240433333,54,0.428,0.000119,0.428,0.946,3.37E-06,2,0.141,-4.674,0.102,133.26,4,0.358
2417,Coffee and TV,Blur,1999,5.97955,67,0.743,0.0511,0.743,0.743,0.233,2,0.0987,-10.117,0.0367,121.604,4,0.707
2418,Make It Wit Chu,Queens of the Stone Age,2007,4.84155,58,0.704,0.355,0.704,0.811,0.000189,9,0.13,-5.308,0.0277,91.97,4,0.578
2419,Katmandu,Yusuf / Cat Stevens,1970,3.372216667,43,0.672,0.926,0.672,0.121,0.0365,10,0.0973,-18.133,0.0438,102.71,4,0.378
2420,You're so Vain,Carly Simon,1972,4.30685,75,0.659,0.157,0.659,0.678,6.69E-06,0,0.0784,-8.18,0.0313,106.186,4,0.647
2421,Honey Don't,Carl Perkins,1957,2.823666667,39,0.716,0.555,0.716,0.718,2.61E-05,4,0.254,-7.459,0.0473,87.493,4,0.927
2422,Glass Onion - Remastered 2009,The Beatles,1968,2.297333333,53,0.523,0.0123,0.523,0.51,8.38E-05,7,0.108,-9.827,0.0514,120.432,4,0.789
2423,Invisible Touch - 2007 Remaster,Genesis,1986,3.4931,60,0.659,0.339,0.659,0.878,0.000543,0,0.0731,-5.987,0.0298,131.037,4,0.843
2424,King Of The Mountain - Remastered,Midnight Oil,1997,3.82555,48,0.509,0.0531,0.509,0.895,0,9,0.151,-7.409,0.0529,148.012,4,0.799
2425,I'm In Love Again,Fats Domino,2002,1.954433333,39,0.684,0.827,0.684,0.632,0,1,0.0211,-4.358,0.0359,128.849,4,0.964
2426,Look Away,Big Country,1986,4.41,46,0.559,0.0322,0.559,0.837,0.6,1,0.136,-10.316,0.0352,128.091,4,0.821
2427,It Must Be Love,Madness,1981,3.437766667,57,0.536,0.103,0.536,0.606,1.08E-05,7,0.255,-5.364,0.0355,146.425,4,0.719
2428,"Hello Again - From ""The Jazz Singer"" Soundtrack",Neil Diamond,1980,4.052216667,53,0.262,0.415,0.262,0.212,0,0,0.124,-17.044,0.0332,122.49,4,0.0994
2429,Ribcage,Elbow,2003,6.453333333,22,0.725,0.635,0.725,0.42,0.169,7,0.0825,-10.448,0.0306,130.057,4,0.212
2430,Charlie Big Potato,Skunk Anansie,1999,5.504433333,44,0.388,0.00805,0.388,0.824,0.000547,9,0.0615,-7.292,0.102,158.64,4,0.306
2431,Rip It Up,Elvis Presley,1956,1.878433333,44,0.672,0.673,0.672,0.775,3.43E-06,4,0.115,-9.098,0.0454,102.119,4,0.883
2432,Venus,Television,1977,3.8171,47,0.55,0.000898,0.55,0.631,0.18,0,0.0503,-11.493,0.0385,114.553,4,0.908
2433,Where The River Flows,Collective Soul,1995,3.597766667,56,0.733,0.335,0.733,0.724,0.000159,0,0.106,-7.055,0.0314,127.632,4,0.964
2434,Harmonicas & Tambourines,Hot Hot Heat,2007,3.080883333,18,0.411,0.000121,0.411,0.977,0.122,9,0.292,-2.791,0.158,160.108,4,0.412
2435,Don't Shed a Tear,Paul Carrack,1987,4.923766667,45,0.644,0.0609,0.644,0.657,7.55E-05,11,0.0498,-11.167,0.0307,109.785,4,0.945
2436,Donna - Single Version,Ritchie Valens,1959,2.516216667,56,0.472,0.864,0.472,0.225,0,5,0.111,-12.581,0.0263,100.299,3,0.29
2437,Life's What You Make It - 1997 Remaster,Talk Talk,1986,4.48155,60,0.525,0.00367,0.525,0.804,0.285,1,0.0382,-7.575,0.0321,91.951,4,0.935
2438,Killed By Death - Live Hamburg Germany 1998,Motörhead,1999,6.45,13,0.167,0.000418,0.167,0.998,0.672,1,0.976,-3.942,0.119,141.342,4,0.0304
2439,Tear It Up,Johnny Burnette & The Rock 'N' Roll Trio,2008,1.912883333,27,0.608,0.651,0.608,0.672,0.000881,4,0.527,-9.561,0.0498,109.933,4,0.69
2440,Kingdom,Ultramarine,2014,4.884883333,8,0.77,0.0649,0.77,0.4,0.0384,0,0.199,-12.806,0.0314,109.653,4,0.357
2441,Turn On Me,The Shins,2007,3.694866667,41,0.56,0.000872,0.56,0.865,2.25E-05,0,0.106,-5.222,0.0356,121.988,4,0.472
2442,The Stops,Elbow,2005,5.056433333,23,0.419,0.789,0.419,0.29,0.00268,4,0.492,-12.736,0.0897,166.258,3,0.0846
2443,End Over End,Foo Fighters,2005,5.866666667,42,0.433,0.000123,0.433,0.921,0.00116,7,0.45,-4.256,0.0493,128.127,4,0.19
2444,A Bad Dream,Keane,2006,5.071333333,54,0.408,0.00731,0.408,0.729,3.98E-06,1,0.172,-4.918,0.0302,145.055,4,0.279
2445,Something To Talk About,Bonnie Raitt,1991,3.792883333,62,0.795,0.0631,0.795,0.64,2.13E-06,1,0.0692,-13.478,0.0294,102.633,4,0.954
2446,Don't Tell Me You Love Me,Night Ranger,1982,4.380433333,52,0.389,0.0393,0.389,0.84,0.00155,6,0.085,-10.015,0.0442,176.589,4,0.493
2447,Don't Let Go (Love),En Vogue,1997,4.864666667,62,0.618,0.409,0.618,0.688,6.32E-06,5,0.3,-5.867,0.0477,78.311,4,0.561
2448,River,Joni Mitchell,1971,4.084,67,0.405,0.979,0.405,0.152,9.07E-05,0,0.104,-13.901,0.0395,61.34,4,0.383
2449,You Keep Runnin' Away,38 Special,1982,3.94555,25,0.646,0.00564,0.646,0.708,0,9,0.154,-9.821,0.0335,132.927,4,0.837
2450,This Is the Day,The The,2001,4.9511,56,0.56,0.0131,0.56,0.875,0.000693,10,0.063,-4.483,0.0518,141.661,4,0.538
2451,For All the Cows,Foo Fighters,1995,3.487333333,42,0.366,0.0323,0.366,0.542,0.00262,4,0.237,-9.655,0.0344,124.631,4,0.513
2452,Silver And Cold,AFI,2003,4.178433333,53,0.412,0.00258,0.412,0.839,7.10E-06,3,0.333,-4.543,0.0369,130.09,1,0.37
2453,Mysterons,Portishead,1994,5.087333333,53,0.657,0.405,0.657,0.498,0.000479,11,0.107,-11.529,0.262,164.25,4,0.46
2454,Into Your Hideout,Pilot Speed,2006,3.9051,8,0.523,0.000372,0.523,0.706,0,2,0.106,-6.969,0.0399,140.078,4,0.272
2455,Love of a Lifetime,Firehouse,1990,4.776216667,61,0.472,0.000204,0.472,0.48,0.00275,1,0.0914,-11.893,0.0308,123.023,4,0.126
2456,Spies,Coldplay,2000,5.312883333,58,0.309,0.0236,0.309,0.673,0.000144,1,0.0635,-5.524,0.0319,147.599,4,0.0732
2457,"Return to Sender - From ""Girls! Girls! Girls!""",Elvis Presley,1962,2.11155,60,0.845,0.628,0.845,0.563,0,8,0.0614,-9.488,0.0439,130.335,4,0.969
2458,Long Tall Sally,Elvis Presley,1956,1.878883333,35,0.391,0.738,0.391,0.752,1.71E-05,0,0.0537,-9.683,0.0383,186.574,4,0.956
2459,Young Turks - 2008 Remaster,Rod Stewart,2008,5.040216667,62,0.641,0.274,0.641,0.821,0.477,5,0.138,-8.783,0.0324,161.143,4,0.705
2460,Fans,Kings of Leon,2007,3.606666667,56,0.416,0.0256,0.416,0.721,6.11E-05,4,0.141,-6.222,0.0366,103.96,4,0.354
2461,Turn up the Radio,Autograph,1984,4.641766667,59,0.629,0.0375,0.629,0.79,0.00034,2,0.13,-13.496,0.0429,110.295,4,0.428
2462,Word Up!,Korn,2004,2.877766667,62,0.577,2.42E-05,0.577,0.94,0.0715,6,0.347,-4.439,0.0361,116.045,4,0.818
2463,She's Not There,Santana,1977,4.150433333,53,0.477,0.403,0.477,0.697,0.262,0,0.311,-7.878,0.0387,130.365,4,0.832
2464,Verona,Elemeno P,2003,2.773333333,42,0.541,0.00142,0.541,0.909,1.13E-06,9,0.165,-4.001,0.0426,175.863,4,0.891
2465,Doctor Doctor - 2007 Remaster,UFO,1974,4.20755,61,0.298,0.000168,0.298,0.799,9.42E-05,2,0.496,-6.962,0.0464,143.072,4,0.561
2466,Been Away Too Long,Soundgarden,2012,3.60355,45,0.475,5.49E-05,0.475,0.971,0.0124,9,0.367,-3.541,0.102,152.868,4,0.641
2467,Bang the Drum All Day - 2015 Remaster,Todd Rundgren,1982,3.646,44,0.639,0.755,0.639,0.784,0,2,0.0404,-10.444,0.0593,143.111,4,0.934
2468,Open Your Eyes,Guano Apes,1997,3.126,62,0.645,0.00527,0.645,0.948,0,0,0.33,-6.614,0.0664,111.571,4,0.369
2469,Cool Slate,Cha Cha Cohen,1999,5.047333333,0,0.271,2.83E-05,0.271,0.917,0.657,1,0.225,-8.361,0.0819,198.043,4,0.0777
2470,Devil in a Midnight Mass,Billy Talent,2006,2.864433333,54,0.459,0.000125,0.459,0.928,2.36E-06,2,0.258,-5.008,0.0832,177.97,4,0.563
2471,Age of Consent - 2015 Remaster,New Order,1983,5.25555,67,0.372,0.00101,0.372,0.91,0.0944,2,0.13,-5.559,0.0392,161.964,4,0.756
2472,Fake Empire,The National,2007,3.417333333,57,0.324,0.151,0.324,0.776,0.917,0,0.0728,-6.784,0.0346,101.964,3,0.317
